Iteration,Step,Ep_num,EpRet_mean,EpRet_std,EpLen_mean,EpErr_mean,EpErr_std,EpPsi_mean,EpPsi_std,EpSuccess_num,Value_loss,Policy_loss,Old_approx_kl,Approx_kl,Clipfrac,Explained_variance,Entropy,Time
1,12288,216,-149.72242263187775,24.105401492708765,55.7962962962963,2012.5486156708491,269.270517335208,180.82392461015843,33.95602319563121,0,4849.4296875,-0.01401248574256897,0.01715954579412937,0.00504745077341795,0.010470920138888888,0.0,3.6451704502105713,45.13562250137329
2,24576,216,-147.46398056598684,25.528677277990663,55.5,1926.4057285152783,288.24231673541834,164.11720600017966,33.17355625682244,0,4405.3203125,0.0019632577896118164,-0.006066601723432541,0.0016732346266508102,0.011203342013888888,0.0010727643966674805,3.6115612983703613,41.79588437080383
3,36864,216,-143.46656793336922,22.743541322223244,55.68981481481482,1846.1381785937647,309.2829464472123,154.98834083293332,35.679366339805924,0,3824.060546875,-0.002469979226589203,0.019107170403003693,0.0032520852982997894,0.013671875,0.0014361739158630371,3.596252202987671,41.74871802330017
4,49152,216,-138.18479022113246,22.523252904591956,55.425925925925924,1747.9334420545504,298.10409905590734,139.13019994846158,28.749522713487398,0,3618.77490234375,0.008277440443634987,0.008100828155875206,0.002126134932041168,0.007378472222222222,0.00043517351150512695,3.5671191215515137,40.996193408966064
5,61440,216,-140.12326364433954,24.28434113185203,55.56481481481482,1771.2391405072908,338.60163643696507,142.13964177877642,33.53900692576845,0,3643.023681640625,-0.005555843934416771,-0.002846257761120796,0.0029005641117691994,0.0033094618055555555,0.00023603439331054688,3.613187313079834,41.548731565475464
6,73728,216,-139.16978694376314,24.380287348674887,55.513888888888886,1747.1211341731653,368.1894847746692,139.09746839955915,35.58119890790061,0,3717.04296875,0.00487152487039566,-0.0008899867534637451,0.0034502772614359856,0.014024522569444444,0.00015991926193237305,3.5892059803009033,41.37177538871765
7,86016,216,-131.2122413556421,22.447243026374387,55.48148148148148,1638.048038187254,339.5230320919536,125.76377112879224,34.01711849759474,0,3486.75439453125,0.004863932728767395,0.012295780703425407,0.0018248902633786201,0.023763020833333332,8.320808410644531e-05,3.5709640979766846,41.43931770324707
8,98304,216,-130.81177478626967,22.700311028710807,55.66203703703704,1562.0523526307948,337.92237389030527,117.04020578103761,30.143967285100793,0,2820.325439453125,0.01179240271449089,0.00010790489614009857,0.0015879049897193909,0.0037434895833333335,5.429983139038086e-05,3.593845844268799,41.7617621421814
9,110592,216,-127.68555527448454,23.365926824844514,55.63425925925926,1538.3484301870287,374.90052080165344,114.84776585358001,34.0462526772705,0,2580.61669921875,0.006796509027481079,0.00021694786846637726,0.003602844662964344,0.011962890625,4.07099723815918e-05,3.571258544921875,41.555269718170166
10,122880,217,-119.04902430489044,26.30649491461414,55.3963133640553,1364.9928545344437,390.849552143963,97.25447645591152,33.809103031841566,1,2228.234375,0.018667034804821014,0.0019107554107904434,0.004817862994968891,0.03553602430555555,2.9325485229492188e-05,3.5757341384887695,41.1772518157959
11,135168,216,-110.11058313707701,26.50050789954922,55.73148148148148,1196.980836577807,417.4508682789536,78.99992317892611,35.80420067280354,0,1906.8603515625,-0.01052582636475563,0.00025920383632183075,0.006040330044925213,0.048177083333333336,6.383657455444336e-05,3.5681045055389404,41.16978478431702
12,147456,217,-98.42274016496495,28.79854521415346,55.465437788018434,939.573400330338,377.27847214664536,54.71322456263177,31.219119136823217,0,1718.516845703125,0.0037838444113731384,0.025604581460356712,0.00787330511957407,0.04519314236111111,6.192922592163086e-05,3.5512454509735107,41.43719029426575
13,159744,216,-82.97565774148559,31.242090696670143,55.523148148148145,689.4472396263621,307.3706752857261,32.480135560035706,22.979111680889527,1,1053.7275390625,0.0037772301584482193,0.005363974720239639,0.008315586484968662,0.04104275173611111,4.6253204345703125e-05,3.5314598083496094,41.35869646072388
